編號,執行機關,名稱,年度,計畫總金額,中央補助總額,地方自籌總額,計畫年度經費,中央年度補助款,地方年度自籌款,執行廠商
273,高雄市,111-112年度新一代智慧運輸系統 設計建置計畫,111,"30,000,000","22,500,000","7,500,000","24,000,000","18,000,000","6,000,000",資拓宏宇國際股份有限公司
274,高雄市,111-112年度新一代智慧運輸系統 設計建置計畫,112,"30,000,000","22,500,000","7,500,000","6,000,000","4,500,000","1,500,000",資拓宏宇國際股份有限公司
275,桃園市,運用人工智慧改善交流道周邊交通疏導應用,111,"19,800,000","14,850,000","4,950,000","15,840,000","11,880,000","3,960,000",資拓宏宇國際股份有限公司
276,桃園市,運用人工智慧改善交流道周邊交通疏導應用,112,"19,800,000","14,850,000","4,950,000","3,960,000","2,970,000","990,000",資拓宏宇國際股份有限公司
277,桃園市,桃園市交通管理中心發展藍圖規劃委託專業服務案,111,"7,320,000","7,500,000","2,500,000","7,320,000","7,500,000","2,500,000",鼎漢國際工程顧問股份有限公司
278,高雄市,111-112年度高雄市脆弱路段智慧化號誌交控應用服務,111,"30,000,000","22,500,000","7,500,000","24,000,000","18,000,000","6,000,000",台灣世曦工程顧問股份有限公司
279,高雄市,111-112年度高雄市脆弱路段智慧化號誌交控應用服務,112,"30,000,000","22,500,000","7,500,000","6,000,000","4,500,000","1,500,000",台灣世曦工程顧問股份有限公司
280,新竹縣,新竹縣尖石鄉多元車輛共享服務及客貨共載試辦計畫,111,"9,936,316","9,300,000","636,316","6,999,474","6,510,000","489,474",鼎漢國際工程顧問股份有限公司
281,新竹縣,新竹縣尖石鄉多元車輛共享服務及客貨共載試辦計畫,112,"9,936,316","9,300,000","636,316","2,936,842","2,790,000","146,842",鼎漢國際工程顧問股份有限公司
282,新北市,111年度新北市運輸走廊整合道路交通與多元資訊應用計畫(第5期),111,"13,340,000","10,000,000","3,340,000","9,338,000","7,000,000","2,338,000",資拓宏宇國際股份有限公司
283,新竹縣,內灣地區智慧交通管理控制系統建置計畫,111,"18,850,000","16,000,000","2,850,000","5,655,000","4,800,000","855,000",創新交通科技有限公司
284,新竹縣,內灣地區智慧交通管理控制系統建置計畫,112,"18,850,000","16,000,000","2,850,000","13,195,000","11,200,000","1,995,000",創新交通科技有限公司
285,花蓮縣,花蓮縣智慧交控暨區域路網改善計畫,111,"28,422,000","27,000,000","1,422,000","5,784,400","5,500,000","284,400",中華電信股份有限公司企業客戶分公司
286,花蓮縣,花蓮縣智慧交控暨區域路網改善計畫,112,"28,422,000","27,000,000","1,422,000","22,637,600","21,500,000","1,137,600",中華電信股份有限公司企業客戶分公司
287,新北市,111年度新北市運輸走廊整合道路交通與多元資訊應用計畫(第5期),112,"13,340,000","10,000,000","3,340,000","4,002,000","3,000,000","1,002,000",資拓宏宇國際股份有限公司
288,新北市,新北市中和南勢角交通管理與整體改善計畫,111,"20,000,000","15,000,000","5,000,000","14,000,000","10,500,000","3,500,000",資拓宏宇國際股份有限公司
289,屏東縣,台1線周邊路網幹道運輸走廊壅塞改善計畫,111,"34,736,843","33,000,000","1,736,843","17,368,421","16,500,000","868,421",台灣世曦工程顧問股份有限公司
290,屏東縣,台1線周邊路網幹道運輸走廊壅塞改善計畫,112,"34,736,843","33,000,000","1,736,843","17,368,422","16,500,000","868,422",台灣世曦工程顧問股份有限公司
291,彰化縣,110年彰化縣智慧交通控制軟硬體設備擴充計畫,111,"13,890,000","12,500,000","1,390,000","13,890,000","12,500,000","1,390,000",揚立科技股份有限公司
292,臺南市,111年臺南市緊急車輛優先號誌暨運輸走廊壅塞改善計畫,111,"16,000,270","11,000,000","5,000,000","11,636,634","8,000,000","3,636,364",勤崴國際科技股份有限公司
293,臺南市,111年臺南市緊急車輛優先號誌暨運輸走廊壅塞改善計畫,112,"16,000,270","11,000,000","5,000,000","4,363,636","3,000,000","1,363,636",勤崴國際科技股份有限公司
294,桃園市,111年度智慧交通安全路口路段防護計畫,111,"16,000,000","12,000,000","4,000,000","16,000,000","12,000,000","4,000,000",遠傳電信&力歐新能源
295,苗栗縣,苗栗縣智慧交通管理系統服務躍升計畫,111,"15,789,480","55,500,000","789,480","4,736,844","45,000,000","236,844",中華電信股份有限公司企業客戶分公司
296,苗栗縣,苗栗縣智慧交通管理系統服務躍升計畫,112,"15,789,480","55,500,000","789,480","11,052,636","10,500,000","552,636",中華電信股份有限公司企業客戶分公司
297,臺南市,111年度 AI 影像辨識之智慧交通管理系統,111,"15,800,000","10,862,500","4,937,500","15,800,000","10,862,500","4,937,500",資拓宏宇股份有限公司
298,臺中市,111年度中彰投聯合交通協控計畫,111,"12,000,000","12,000,000",0,"12,000,000","12,000,000",0,逢甲大學
299,新竹市,110年度智慧運輸系統發展建設計畫-新竹市通勤路廊智慧交控計畫,111,"15,000,000","10,000,000","5,000,000","11,400,000","7,600,000","3,800,000",中華電信股份有限公司企業客戶分公司
300,新竹市,新竹市智慧運輸走廊提升計畫,111,"30,000,000","20,000,000","10,000,000","7,500,000","5,000,000","2,500,000",中華電信股份有限公司企業客戶分公司
301,新竹市,新竹市智慧運輸走廊提升計畫,112,"30,000,000","20,000,000","10,000,000","22,500,000","15,000,000","7,500,000",中華電信股份有限公司企業客戶分公司
302,臺北市,臺北市導入智慧動態號誌控制策略計畫,111,"50,000,000","25,000,000","25,000,000","50,000,000","25,000,000","25,000,000",世曦及資拓
303,臺北市,臺北市感應性號誌設置計畫,111,"26,500,000","10,000,000","16,500,000","26,500,000","10,000,000","16,500,000",資拓宏宇股份有限公司
304,新北市,新北市中和南勢角交通管理與整體改善計畫,112,"20,000,000","15,000,000","5,000,000","6,000,000","4,500,000","1,500,000",資拓宏宇國際股份有限公司
305,新北市,通學巷科技管理計畫,111,"4,000,000","3,000,000","1,000,000","4,000,000","3,000,000","1,000,000",中華電信
306,臺東縣,臺東縣智慧交通基礎建設與應用計畫 (第四期),111,"10,530,000","10,000,000","530,000","10,530,000","10,000,000","530,000",水靈科技股份有限公司
307,新北市,新北市淡海智駕電動巴士環線多車服務測試運行計畫(第二階段),111,"72,619,446","52,000,000","20,619,446","15,865,150","10,000,000","5,865,150",勤崴國際科技股份有限公司
308,新北市,新北市淡海智駕電動巴士環線多車服務測試運行計畫(第二階段),112,"72,619,446","52,000,000","20,619,446","35,535,407","23,827,500","11,707,907",勤崴國際科技股份有限公司
309,新北市,新北市淡海智駕電動巴士環線多車服務測試運行計畫(第二階段),113,"72,619,446","52,000,000","20,619,446","21,218,889","18,172,500","3,046,389",勤崴國際科技股份有限公司
310,基隆市,基隆交通AIoT戰情室系統建置計畫,111,"17,100,000","15,390,000","1,710,000","5,130,000","4,617,000","513,000",資拓宏宇國際股份有限公司
311,基隆市,基隆交通AIoT戰情室系統建置計畫,112,"17,100,000","15,390,000","1,710,000","11,970,000","10,773,000","1,197,000",資拓宏宇國際股份有限公司
312,花蓮縣,花蓮先期轉運站MaaS應用服務計畫,111,"8,422,000","8,000,000","422,000","6,737,600","6,400,000","337,600",雷門智能移動股份有限公司
313,花蓮縣,花蓮先期轉運站MaaS應用服務計畫,112,"8,422,000","8,000,000","422,000","1,684,400","1,600,000","84,400",雷門智能移動股份有限公司
314,澎湖縣,111-112年菊島智旅平台建置與營運計畫,111,"24,220,000","23,000,000","1,220,000","7,266,000","6,900,000","366,000",三維工程顧問股份有限公司/康和資訊系統股份有限公司
315,澎湖縣,111-112年菊島智旅平台建置與營運計畫,112,"24,220,000","23,000,000","1,220,000","16,954,000","16,100,000","854,000",三維工程顧問股份有限公司/康和資訊系統股份有限公司
